12333,-green,green
7365,-green,green
16872,-green,green
4445,-green,green
14553,-green,green
12341,-green,green
3711,-green,green
6455,-green,green
1142,-yellow,yellow
18875,-yellow,yellow
1297,-yellow,yellow
5738,-yellow,yellow
15536,-yellow,yellow
7495,-yellow,yellow
17893,-yellow,yellow
8953,-yellow,yellow
16030,agate,brown
16144,agate,brown
5040,agate,brown
454,agate,brown
2150,agate,brown
10535,agate,brown
3995,agate,brown
19067,agate,brown
10909,alabaster,white
11678,alabaster,white
14840,alabaster,white
2959,alabaster,white
17618,alabaster,white
15578,alabaster,white
18710,alabaster,white
11525,alabaster,white
15690,amaranth,red
7852,amaranth,red
5331,amaranth,red
15971,amaranth,red
15732,amaranth,red
1515,amaranth,red
17153,amaranth,red
19238,amaranth,red
1386,amber,yellow
13440,amber,yellow
12804,amber,yellow
1686,amber,yellow
10133,amber,yellow
12282,amber,yellow
6947,amber,yellow
16028,amber,yellow
8827,amber-colored,NULL
5361,amber-colored,NULL
708,amber-colored,NULL
6546,amber-colored,NULL
10394,amber-colored,NULL
5606,amber-colored,NULL
6176,amber-colored,NULL
14985,amber-colored,yellow
17077,amethyst,purple
5987,amethyst,purple
8256,amethyst,purple
15469,amethyst,purple
18177,amethyst,purple
9977,amethyst,purple
8079,amethyst,purple
5206,amethyst,purple
18490,amethystine,purple
18738,amethystine,purple
15049,amethystine,purple
2693,amethystine,purple
1292,amethystine,purple
15958,amethystine,purple
5679,amethystine,purple
17415,amethystine,purple
15560,apple-green,green
7311,apple-green,green
4259,apple-green,green
7526,apple-green,green
2301,apple-green,green
5015,apple-green,green
12801,apple-green,green
6492,apple-green,green
3873,apricot,orange
4633,apricot,orange
199,apricot,orange
6291,apricot,orange
16247,apricot,orange
16561,apricot,orange
9163,apricot,orange
491,apricot,orange
11710,aqua,blue
12365,aqua,blue
12764,aqua,blue
8808,aqua,blue
2017,aqua,blue
10121,aqua,blue
1673,aqua,blue
933,aqua,blue
10387,argent,gray
2095,argent,gray
11568,argent,gray
3459,argent,gray
7352,argent,gray
3645,argent,gray
7504,argent,gray
2188,argent,gray
9087,ash-colored,gray
2502,ash-gray,gray
8728,ash-gray,gray
12874,ash-gray,gray
19477,ash-gray,gray
1457,ash-gray,gray
2342,ash-gray,gray
4128,ash-gray,gray
16916,ash-gray,gray
7707,ashen-gray,gray
8642,ashen-gray,gray
13470,ashen-gray,gray
15904,ashen-gray,gray
7329,ashen-gray,gray
1463,ashen-gray,gray
8366,ashen-gray,gray
10163,ashen-gray,gray
11104,auburn,brown
1653,auburn,brown
873,auburn,brown
18786,auburn,brown
8067,auburn,brown
1006,auburn,brown
12438,auburn,brown
